"H40-BPAR-6","CASEID","FAM-1B","FAM-2A","HGC-MOTHER","HGC-FATHER","FAM-28A","R_REL-1_COL","R_REL-3","Q9-72","Q3-3","Q3-4","MIL-6","Q13-5","SAMPLE_ID","SAMPLE_RACE","SAMPLE_SEX","URBAN-RURAL","MARSTAT-KEY","FAMSIZE","TNFI_TRUNC","POVSTATUS","DELIN-1","DELIN-3","DELIN-4","DELIN-5","DELIN-6","DELIN-7","DELIN-8","DELIN-9","DELIN-10","DELIN-11","DELIN-12","DELIN-13","DELIN-14","DELIN-15","DELIN-18","POLICE-1","POLICE-6","POLICE-7","Q12-4","DRUG-22","DRUG-26","DRUG-32"
1,110,21,1,-2,12,3,7,2,0,12,12,0,-3,1,3,1,1,0,6,-2,-3,-4,-4,0,0,0,0,0,0,0,0,6,3,0,0,1,1,0,0,2,1,1,0
1,111,19,1,11,10,3,7,2,0,-3,-3,0,5300,5,3,2,1,0,6,-2,-3,-4,-4,0,0,0,0,0,0,0,0,6,0,0,0,0,0,-4,-4,-4,0,0,0
1,112,15,1,12,8,3,7,3,0,9,8,-4,-4,5,3,2,1,0,6,-2,-3,0,1,0,0,1,3,0,0,0,0,3,0,0,1,0,0,-4,-4,0,0,0,0
-4,113,16,2,-2,-2,3,7,2,0,10,-3,-4,-4,1,3,1,1,0,4,-2,-3,0,-1,6,2,3,4,0,1,2,1,6,4,3,0,0,1,0,0,6,0,0,0
-4,114,22,2,6,7,3,7,2,0,12,12,0,15500,1,3,1,1,0,4,-2,-3,-4,-4,0,0,0,0,0,0,0,0,6,1,1,0,0,0,-4,-4,4,0,0,0
-4,115,18,1,10,12,2,9,1,0,12,12,0,3284,5,3,2,1,0,5,52300,0,-4,-4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,-4,-4,0,1,0,0
-4,116,15,1,10,12,2,9,5,0,9,8,-4,-4,5,3,2,1,0,5,52300,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,-4,-4,0,1,0,0
1,117,19,1,10,12,2,9,1,0,13,12,0,8800,1,3,1,0,0,5,52300,0,-4,-4,0,0,1,0,0,0,0,3,0,0,0,0,0,0,-4,-4,1,0,0,0
-4,118,17,1,-2,8,2,7,1,0,9,8,0,-4,5,3,2,1,0,3,14000,0,-4,-4,2,0,5,3,0,0,3,2,6,3,2,0,1,0,1,0,0,1,1,0
1,119,21,1,11,8,2,9,1,0,14,13,0,2500,1,3,1,1,0,2,7400,0,-4,-4,0,0,0,1,1,0,0,0,3,0,0,0,2,1,0,0,0,1,0,0
1,120,17,1,16,12,2,7,2,0,11,10,0,-4,1,3,1,1,0,5,60000,0,-4,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-4,-4,0,0,0
0,121,14,1,17,15,2,7,2,0,9,8,-4,-4,5,3,2,1,0,5,60000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-4,-4,0,0,0
1,122,17,1,11,10,1,7,3,0,11,10,0,-4,1,3,1,1,0,4,12000,0,-4,-4,0,3,0,0,0,0,3,3,0,0,0,0,0,0,-4,-4,2,0,0,0
-4,123,16,1,16,16,1,3,2,0,11,10,-4,-4,1,3,1,1,0,3,-2,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-4,0,0,0
0,124,18,1,14,14,7,7,5,0,11,10,0,1300,5,3,2,1,0,4,-2,-3,-4,-4,3,0,1,-1,0,0,2,0,6,0,0,0,0,0,-4,-4,0,1,1,0
0,125,22,1,12,14,7,7,1,0,14,13,1,4000,1,3,1,1,0,4,30000,0,-4,-4,3,4,1,0,0,0,0,0,2,3,2,2,0,0,-4,-4,2,0,0,0
